 TIME             sta1            sta2      
     134.000  0.37361025E-08 -0.13681013E-08
     135.000 -0.47979325E-09  0.34645667E-08
     136.000 -0.82089023E-10  0.25093735E-08
     137.000  0.40588365E-08 -0.21608780E-08
     138.000  0.35990915E-08 -0.92849523E-09
     139.000 -0.55230422E-09  0.40719396E-08
     140.000 -0.24355276E-10  0.31066517E-08
     141.000  0.41878631E-08 -0.16221172E-08
     142.000  0.36059613E-08 -0.36647220E-09
     143.000 -0.77604762E-09  0.43007006E-08
     144.000 -0.44077219E-09  0.21951113E-08
     145.000  0.35896039E-08 -0.40434445E-08
     146.000  0.27901380E-08 -0.37625750E-08
     147.000 -0.16791639E-08  0.73400262E-09
     148.000 -0.11071788E-08 -0.10506304E-08
     149.000  0.34024928E-08 -0.65242281E-08
     150.000  0.30790860E-08 -0.48855468E-08
     151.000 -0.10390080E-08  0.12185863E-08
     152.000 -0.27120720E-09  0.70716006E-09
     153.000  0.41843520E-08 -0.38752896E-08
     154.000  0.35358204E-08 -0.15038216E-08
     155.000 -0.96353270E-09  0.48780649E-08
     156.000 -0.40220023E-09  0.37296604E-08
     157.000  0.40028492E-08 -0.20649562E-08
     158.000  0.33485709E-08 -0.61867018E-09
     159.000 -0.10643621E-08  0.53943833E-08
     160.000 -0.26988158E-09  0.40448536E-08
     161.000  0.43383592E-08 -0.20053993E-08
     162.000  0.36306350E-08 -0.84697445E-09
     163.000 -0.10706236E-08  0.46290504E-08
     164.000 -0.62787112E-09  0.23492958E-08
     165.000  0.36564041E-08 -0.45087687E-08
     166.000  0.27622114E-08 -0.34047806E-08
     167.000 -0.17305707E-08  0.26302649E-08
     168.000 -0.54790265E-09  0.10322742E-08
     169.000  0.47478087E-08 -0.49491254E-08
     170.000  0.47139558E-08 -0.25141853E-08
     171.000  0.71742738E-09  0.48842025E-08
     172.000  0.19727896E-08  0.40389492E-08
     173.000  0.68156058E-08 -0.17290501E-08
     174.000  0.58177359E-08  0.70146992E-09
     175.000  0.66823361E-09  0.75411530E-08
     176.000  0.95582598E-09  0.52107510E-08
     177.000  0.51161595E-08 -0.23180189E-08
     178.000  0.36859834E-08 -0.96226475E-09
     179.000 -0.15553642E-08  0.54050903E-08
     180.000 -0.94985021E-09  0.25695482E-08
     181.000  0.37592546E-08 -0.53140339E-08
     182.000  0.28703898E-08 -0.35478124E-08
     183.000 -0.18741714E-08  0.37021937E-08
     184.000 -0.80328673E-09  0.13897866E-08
     185.000  0.41974469E-08 -0.63116903E-08
     186.000  0.33223296E-08 -0.40851739E-08
     187.000 -0.15596236E-08  0.38342096E-08
     188.000 -0.66405801E-09  0.18981670E-08
     189.000  0.40146617E-08 -0.54589952E-08
     190.000  0.26316310E-08 -0.22781143E-08
     191.000 -0.26616168E-08  0.69639872E-08
     192.000 -0.18019470E-08  0.59712360E-08
     193.000  0.31442044E-08 -0.84873939E-09
     194.000  0.21563903E-08  0.26876523E-08
     195.000 -0.25673282E-08  0.11382022E-07
     196.000 -0.92817745E-09  0.80463710E-08
     197.000  0.47359576E-08 -0.23527368E-08
     198.000  0.41085456E-08 -0.22001266E-08
     199.000 -0.57057949E-09  0.38186667E-08
     200.000  0.94903551E-09 -0.16814946E-08
     201.000  0.62497580E-08 -0.13195632E-07
     202.000  0.49258176E-08 -0.12260864E-07
     203.000 -0.56086414E-09 -0.39006123E-08
     204.000  0.31888085E-09 -0.64948105E-08
     205.000  0.51238650E-08 -0.14580195E-07
     206.000  0.33537313E-08 -0.93282104E-08
     207.000 -0.23379278E-08  0.33197472E-08
     208.000 -0.11814740E-08  0.34025561E-08
     209.000  0.42705051E-08 -0.38723637E-08
     210.000  0.32237127E-08  0.11119353E-08
     211.000 -0.17746766E-08  0.12435639E-07
     212.000  0.12675177E-10  0.96506790E-08
     213.000  0.58205094E-08 -0.13548522E-08
     214.000  0.46698166E-08  0.48716032E-09
     215.000 -0.76459061E-09  0.97022560E-08
     216.000  0.48141455E-09  0.55305115E-08
     217.000  0.56824504E-08 -0.57442831E-08
     218.000  0.39039340E-08 -0.25604126E-08
     219.000 -0.19278976E-08  0.86566521E-08
     220.000 -0.69668629E-09  0.56944299E-08
     221.000  0.46677204E-08 -0.51362295E-08
     222.000  0.30199264E-08 -0.14992150E-08
     223.000 -0.25903570E-08  0.97682568E-08
     224.000 -0.89865636E-09  0.56808515E-08
     225.000  0.49783045E-08 -0.66090435E-08
     226.000  0.36428431E-08 -0.33550827E-08
     227.000 -0.18293907E-08  0.82618484E-08
     228.000 -0.10087947E-09  0.40638199E-08
     229.000  0.55794587E-08 -0.84351899E-08
     230.000  0.37922703E-08 -0.44243219E-08
     231.000 -0.20531888E-08  0.82772996E-08
     232.000 -0.36186278E-09  0.41190108E-08
     233.000  0.54220514E-08 -0.89029582E-08
     234.000  0.36203271E-08 -0.46025937E-08
     235.000 -0.22448991E-08  0.87269297E-08
     236.000 -0.39990992E-09  0.41258852E-08
     237.000  0.55588758E-08 -0.99141320E-08
     238.000  0.37625359E-08 -0.56893763E-08
     239.000 -0.21300068E-08  0.81374029E-08
     240.000 -0.18357573E-09  0.32222350E-08
     241.000  0.58453992E-08 -0.11394333E-07
     242.000  0.39322883E-08 -0.64777384E-08
     243.000 -0.20774897E-08  0.87383185E-08
     244.000 -0.79683424E-10  0.42043623E-08
     245.000  0.59664281E-08 -0.10673499E-07
     246.000  0.38434211E-08 -0.51625770E-08
     247.000 -0.23977177E-08  0.10922837E-07
     248.000 -0.42024983E-09  0.59405193E-08
     249.000  0.56723213E-08 -0.99895943E-08
     250.000  0.34851199E-08 -0.43359303E-08
     251.000 -0.27700319E-08  0.12429408E-07
     252.000 -0.61856203E-09  0.68317125E-08
     253.000  0.56029667E-08 -0.10271644E-07
     254.000  0.33151198E-08 -0.43676477E-08
     255.000 -0.30181112E-08  0.13353473E-07
     256.000 -0.66906806E-09  0.73503023E-08
     257.000  0.58377730E-08 -0.10825968E-07
     258.000  0.36834248E-08 -0.46150380E-08
     259.000 -0.25363042E-08  0.13933109E-07
     260.000  0.30102454E-10  0.70640410E-08
     261.000  0.65928991E-08 -0.12704083E-07
     262.000  0.41202756E-08 -0.63070435E-08
     263.000 -0.25258269E-08  0.13394494E-07
     264.000 -0.19182307E-09  0.61488656E-08
     265.000  0.62037357E-08 -0.14645595E-07
     266.000  0.34609734E-08 -0.73565431E-08
     267.000 -0.33403975E-08  0.14117933E-07
     268.000 -0.85107409E-09  0.66892791E-08
     269.000  0.57772256E-08 -0.15276487E-07
     270.000  0.31258788E-08 -0.72532854E-08
     271.000 -0.35057367E-08  0.15781965E-07
     272.000 -0.56617090E-09  0.76789909E-08
     273.000  0.65322407E-08 -0.15998482E-07
     274.000  0.40909146E-08 -0.73724166E-08
     275.000 -0.24466130E-08  0.17434990E-07
     276.000  0.61633831E-09  0.87779227E-08
     277.000  0.76240025E-08 -0.16620959E-07
     278.000  0.47254761E-08 -0.72900996E-08
     279.000 -0.23008116E-08  0.19359262E-07
     280.000  0.53641767E-09  0.99241683E-08
     281.000  0.73887211E-08 -0.17393702E-07
     282.000  0.42268069E-08 -0.71104887E-08
     283.000 -0.29105344E-08  0.21653000E-07
     284.000  0.13958210E-09  0.11028151E-07
     285.000  0.71920839E-08 -0.19070034E-07
     286.000  0.39478065E-08 -0.83784742E-08
     287.000 -0.32903152E-08  0.22244337E-07
     288.000 -0.12111065E-09  0.99532220E-08
     289.000  0.70140072E-08 -0.23324508E-07
     290.000  0.36210523E-08 -0.11855822E-07
     291.000 -0.36861099E-08  0.21471406E-07
     292.000 -0.29038128E-09  0.81265447E-08
     293.000  0.70245828E-08 -0.27535762E-07
     294.000  0.34965837E-08 -0.13529369E-07
     295.000 -0.39485235E-08  0.24491624E-07
     296.000 -0.42177475E-09  0.10859372E-07
     297.000  0.70082359E-08 -0.27526967E-07
     298.000  0.33489991E-08 -0.11355486E-07
     299.000 -0.41437070E-08  0.30653447E-07
     300.000 -0.32144506E-09  0.14775526E-07
     301.000  0.74182694E-08 -0.28599231E-07
     302.000  0.37961745E-08 -0.11138999E-07
     303.000 -0.36614541E-08  0.34785653E-07
     304.000  0.39025819E-09  0.15779219E-07
     305.000  0.81875140E-08 -0.33405821E-07
     306.000  0.41967207E-08 -0.13522826E-07
     307.000 -0.36924970E-08  0.38173336E-07
     308.000  0.15881896E-09  0.15975326E-07
     309.000  0.77065248E-08 -0.40000315E-07
     310.000  0.32649242E-08 -0.16729814E-07
     311.000 -0.48170132E-08  0.42504254E-07
     312.000 -0.60488159E-09  0.16548840E-07
     313.000  0.74425656E-08 -0.47438921E-07
     314.000  0.32787850E-08 -0.18820524E-07
     315.000 -0.44944233E-08  0.50717546E-07
     316.000  0.18157615E-09  0.19350976E-07
     317.000  0.83479398E-08 -0.56075938E-07
     318.000  0.36896833E-08 -0.20701848E-07
     319.000 -0.46433177E-08  0.62219951E-07
     320.000 -0.93550880E-10  0.21854863E-07
     321.000  0.81445936E-08 -0.70772060E-07
     322.000  0.35211435E-08 -0.24685551E-07
     323.000 -0.44719047E-08  0.79918033E-07
     324.000  0.85915626E-09  0.26341440E-07
     325.000  0.97039202E-08 -0.93680569E-07
     326.000  0.50093537E-08 -0.28447329E-07
     327.000 -0.34781968E-08  0.11558232E-06
     328.000  0.12027344E-08  0.34775094E-07
     329.000  0.90179902E-08 -0.14582288E-06
     330.000  0.30019055E-08 -0.34343618E-07
     331.000 -0.63242954E-08  0.22281021E-06
     332.000 -0.15921247E-08  0.41482662E-07
     333.000  0.66483840E-08 -0.41182609E-06
     334.000  0.10435064E-08  0.38638070E-06
     335.000 -0.75073082E-08  0.45869387E-05
     336.000 -0.14798395E-08  0.13932265E-04
     337.000  0.79014345E-08  0.28858363E-04
     338.000  0.27942384E-08  0.47149876E-04
     339.000 -0.55623154E-08  0.63157757E-04
     340.000  0.58260130E-09  0.69894210E-04
     341.000  0.96047300E-08  0.63281770E-04
     342.000  0.36512190E-08  0.44228405E-04
     343.000 -0.52646269E-08  0.16533717E-04
     344.000  0.91493552E-09 -0.15881559E-04
     345.000  0.99075078E-08 -0.48917217E-04
     346.000  0.36065904E-08 -0.77171807E-04
     347.000 -0.52127082E-08 -0.95137062E-04
     348.000  0.18096011E-08 -0.99802346E-04
     349.000  0.11410349E-07 -0.91480502E-04
     350.000  0.46691822E-08 -0.72908276E-04
     351.000 -0.51935147E-08 -0.48775065E-04
     352.000  0.80639367E-09 -0.25104463E-04
     353.000  0.92993134E-08 -0.66141748E-05
     354.000  0.14636065E-08  0.60135825E-05
     355.000 -0.86329643E-08  0.15076052E-04
     356.000 -0.16674780E-08  0.21983250E-04
     357.000  0.81909368E-08  0.25807094E-04
     358.000  0.15379293E-08  0.25699572E-04
     359.000 -0.71890135E-08  0.22840946E-04
     360.000  0.13580109E-08  0.19126714E-04
     361.000  0.12045124E-07  0.15373029E-04
     362.000  0.49635493E-08  0.11835460E-04
     363.000 -0.47057263E-08  0.92345427E-05
     364.000  0.30024681E-08  0.79480118E-05
     365.000  0.12644782E-07  0.69817288E-05
     366.000  0.42985399E-08  0.50165642E-05
     367.000 -0.60451994E-08  0.20571731E-05
     368.000  0.17955582E-08 -0.91016127E-06
     369.000  0.11525541E-07 -0.33803080E-05
     370.000  0.28879256E-08 -0.54267440E-05
     371.000 -0.74354386E-08 -0.67811282E-05
     372.000  0.79687508E-09 -0.69653174E-05
     373.000  0.10296747E-07 -0.62159977E-05
     374.000  0.66684016E-09 -0.53133209E-05
     375.000 -0.10168883E-07 -0.45268381E-05
     376.000 -0.14108609E-08 -0.35526451E-05
     377.000  0.87864258E-08 -0.24281939E-05
     378.000 -0.26991222E-09 -0.16552590E-05
     379.000 -0.96714370E-08 -0.13525063E-05
     380.000  0.15505081E-08 -0.10457433E-05
     381.000  0.13817738E-07 -0.43073813E-06
     382.000  0.55759003E-08  0.28901671E-06
     383.000 -0.36720542E-08  0.91861838E-06
     384.000  0.70734536E-08  0.15074545E-05
     385.000  0.17059295E-07  0.19414593E-05
     386.000  0.47125785E-08  0.18748023E-05
     387.000 -0.85104908E-08  0.12474093E-05
     388.000 -0.23781779E-09  0.40777972E-06
     389.000  0.83064359E-08 -0.39891161E-06
     390.000 -0.46755418E-08 -0.12139192E-05
     391.000 -0.16748281E-07 -0.19483554E-05
     392.000 -0.54864082E-08 -0.22755262E-05
     393.000  0.62759130E-08 -0.21042513E-05
     394.000 -0.41224140E-08 -0.17471151E-05
     395.000 -0.13498459E-07 -0.14714382E-05
     396.000  0.56072975E-09 -0.12591003E-05
     397.000  0.13726980E-07 -0.11142145E-05
     398.000  0.29141243E-08 -0.11915953E-05
     399.000 -0.73250814E-08 -0.14704282E-05
     400.000  0.59239900E-08 -0.16864834E-05
     401.000  0.17248491E-07 -0.17435605E-05
     402.000  0.36322272E-08 -0.18243524E-05
     403.000 -0.85390489E-08 -0.19400190E-05
     404.000  0.42506469E-08 -0.17482818E-05
     405.000  0.15240324E-07 -0.10189794E-05
     406.000  0.11378268E-08  0.43404546E-07
     407.000 -0.10249522E-07  0.11175632E-05
     408.000  0.45386941E-08  0.20735214E-05
     409.000  0.16681589E-07  0.27673767E-05
     410.000  0.22939195E-08  0.28617725E-05
     411.000 -0.92729429E-08  0.21289511E-05
     412.000  0.56656123E-08  0.74324033E-06
     413.000  0.16729942E-07 -0.88268092E-06
     414.000  0.40502793E-09 -0.23137464E-05
     415.000 -0.11419827E-07 -0.30231720E-05
     416.000  0.52705320E-08 -0.24705093E-05
     417.000  0.17568268E-07 -0.58669628E-06
     418.000  0.11038828E-08  0.19422067E-05
     419.000 -0.10427362E-07  0.40749337E-05
     420.000  0.71393854E-08  0.50155714E-05
     421.000  0.18638175E-07  0.44093287E-05
     422.000 -0.42734689E-09  0.22863419E-05
     423.000 -0.13704236E-07 -0.92330378E-06
     424.000  0.35620794E-08 -0.44738019E-05
     425.000  0.14024136E-07 -0.76159634E-05
     426.000 -0.67365259E-08 -0.97993644E-05
     427.000 -0.19455811E-07 -0.10625702E-04
     428.000  0.88286883E-09 -0.99302412E-05
     429.000  0.13785124E-07 -0.80504886E-05
     430.000 -0.60180944E-08 -0.57386056E-05
     431.000 -0.16879185E-07 -0.36079307E-05
     432.000  0.61828658E-08 -0.18222174E-05
     433.000  0.19562996E-07 -0.37288368E-06
     434.000 -0.21871794E-08  0.65789661E-06
     435.000 -0.14118950E-07  0.12440528E-05
     436.000  0.91623308E-08  0.14823119E-05
     437.000  0.21084625E-07  0.13049903E-05
     438.000 -0.35105296E-08  0.43397191E-06
     439.000 -0.15915324E-07 -0.11561331E-05
     440.000  0.92689376E-08 -0.30220766E-05
     441.000  0.21544545E-07 -0.47100383E-05
     442.000 -0.43929177E-08 -0.60912803E-05
     443.000 -0.16078709E-07 -0.69768895E-05
     444.000  0.11440510E-07 -0.67632189E-05
     445.000  0.23215689E-07 -0.48657728E-05
     446.000 -0.56588038E-08 -0.13493413E-05
     447.000 -0.17779008E-07  0.30467523E-05
     448.000  0.11653766E-07  0.71552490E-05
     449.000  0.22730573E-07  0.94559458E-05
     450.000 -0.89693730E-08  0.85427247E-05
     451.000 -0.20595169E-07  0.42397869E-05
     452.000  0.12019560E-07 -0.18024919E-05
     453.000  0.22965452E-07 -0.68111481E-05
     454.000 -0.11533108E-07 -0.77362886E-05
     455.000 -0.22197745E-07 -0.13357452E-05
     456.000  0.14303454E-07  0.14985079E-04
     457.000  0.24988144E-07  0.40315135E-04
     458.000 -0.13072235E-07  0.67900914E-04
     459.000 -0.23039238E-07  0.87132373E-04
     460.000  0.17355901E-07  0.89164062E-04
     461.000  0.26971470E-07  0.71203449E-04
     462.000 -0.15671152E-07  0.36492282E-04
     463.000 -0.24656254E-07 -0.81271556E-05
     464.000  0.20592539E-07 -0.54261130E-04
     465.000  0.28921576E-07 -0.93397703E-04
     466.000 -0.19115678E-07 -0.11839950E-03
     467.000 -0.26502917E-07 -0.12467468E-03
     468.000  0.24848908E-07 -0.11097680E-03
     469.000  0.31317159E-07 -0.80664517E-04
     470.000 -0.23587460E-07 -0.42494495E-04
     471.000 -0.28770379E-07 -0.80163980E-05
     472.000  0.30358320E-07  0.14512201E-04
     473.000  0.34178842E-07  0.24545144E-04
     474.000 -0.29651183E-07  0.27385438E-04
     475.000 -0.31715318E-07  0.28293936E-04
     476.000  0.37650081E-07  0.28899808E-04
     477.000  0.37695994E-07  0.28390581E-04
     478.000 -0.37915380E-07  0.26320985E-04
     479.000 -0.35076195E-07  0.23603615E-04
     480.000  0.48280526E-07  0.21576264E-04
     481.000  0.41769067E-07  0.20641403E-04
     482.000 -0.51248557E-07  0.19511529E-04
     483.000 -0.39816511E-07  0.15853129E-04
     484.000  0.66101459E-07  0.84286765E-05
     485.000  0.48760948E-07 -0.11750085E-05
     486.000 -0.74047668E-07 -0.95699057E-05
     487.000 -0.48198669E-07 -0.14560153E-04
     488.000  0.99403606E-07 -0.16627099E-04
     489.000  0.61544698E-07 -0.17425243E-04
     490.000 -0.12467717E-06 -0.17674468E-04
     491.000 -0.62768127E-07 -0.16938886E-04
     492.000  0.20455828E-06 -0.14701232E-04
     493.000  0.89525512E-07 -0.10971733E-04
     494.000 -0.39300109E-06 -0.63108231E-05
     495.000  0.20996715E-06 -0.19090618E-05
     496.000  0.42001442E-05  0.69764982E-06
     497.000  0.13573427E-04  0.72182365E-06
     498.000  0.28983307E-04 -0.10375415E-05
     499.000  0.48328812E-04 -0.27568038E-05
     500.000  0.65801123E-04 -0.28165774E-05
     501.000  0.73830609E-04 -0.29601059E-06
     502.000  0.67603868E-04  0.51030363E-05
     503.000  0.47686837E-04  0.12702266E-04
     504.000  0.18094123E-04  0.20384755E-04
     505.000 -0.16849301E-04  0.25197218E-04
     506.000 -0.52697979E-04  0.24874689E-04
     507.000 -0.83537842E-04  0.18913638E-04
     508.000 -0.10300937E-03  0.86118900E-05
     509.000 -0.10728145E-03 -0.33657110E-05
     510.000 -0.96435385E-04 -0.13678406E-04
     511.000 -0.73750498E-04 -0.19580134E-04
     512.000 -0.45049918E-04 -0.20311045E-04
     513.000 -0.17761043E-04 -0.17392600E-04
     514.000  0.22224936E-05 -0.13515928E-04
     515.000  0.13858118E-04 -0.11074824E-04
     516.000  0.20053408E-04 -0.11293653E-04
     517.000  0.23265862E-04 -0.13936253E-04
     518.000  0.23400688E-04 -0.17387793E-04
     519.000  0.20124074E-04 -0.19241425E-04
     520.000  0.15086353E-04 -0.17296528E-04
     521.000  0.10638518E-04 -0.10454174E-04
     522.000  0.77175361E-05  0.76363162E-06
     523.000  0.61540640E-05  0.14008923E-04
