 TIME             sta1            sta2      
     136.000  0.36440452E-05  0.96210849E-08
     137.000  0.36436514E-05  0.63758419E-08
     138.000  0.36424550E-05  0.58875173E-08
     139.000  0.36431000E-05  0.92274454E-08
     140.000  0.36446217E-05  0.77872268E-08
     141.000  0.36443170E-05  0.88697499E-09
     142.000  0.36430608E-05 -0.20827341E-08
     143.000  0.36433551E-05  0.40293978E-09
     144.000  0.36440355E-05 -0.26175117E-09
     145.000  0.36423707E-05 -0.48177060E-08
     146.000  0.36395008E-05 -0.40537780E-08
     147.000  0.36383756E-05  0.28714665E-08
     148.000  0.36382631E-05  0.63430851E-08
     149.000  0.36367233E-05  0.48835442E-08
     150.000  0.36349713E-05  0.73182730E-08
     151.000  0.36357389E-05  0.14113504E-07
     152.000  0.36378091E-05  0.15424920E-07
     153.000  0.36381921E-05  0.10155266E-07
     154.000  0.36377176E-05  0.79926428E-08
     155.000  0.36389658E-05  0.10174151E-07
     156.000  0.36407545E-05  0.74356118E-08
     157.000  0.36402961E-05 -0.66779345E-09
     158.000  0.36387687E-05 -0.39176750E-08
     159.000  0.36391027E-05 -0.10782486E-08
     160.000  0.36402764E-05 -0.17293766E-08
     161.000  0.36394446E-05 -0.64660191E-08
     162.000  0.36376579E-05 -0.52691589E-08
     163.000  0.36377845E-05  0.23362543E-08
     164.000  0.36388252E-05  0.57127689E-08
     165.000  0.36380288E-05  0.35927712E-08
     166.000  0.36366141E-05  0.56749838E-08
     167.000  0.36376322E-05  0.12035215E-07
     168.000  0.36401378E-05  0.11853004E-07
     169.000  0.36411828E-05  0.45421558E-08
     170.000  0.36415445E-05  0.10980710E-08
     171.000  0.36437282E-05  0.26563566E-08
     172.000  0.36463524E-05 -0.93333984E-09
     173.000  0.36463325E-05 -0.95851972E-08
     174.000  0.36446668E-05 -0.11856742E-07
     175.000  0.36443518E-05 -0.69874401E-08
     176.000  0.36446315E-05 -0.60996830E-08
     177.000  0.36430169E-05 -0.99074901E-08
     178.000  0.36408174E-05 -0.75298120E-08
     179.000  0.36408661E-05  0.10573273E-08
     180.000  0.36420204E-05  0.40853990E-08
     181.000  0.36418821E-05  0.88131600E-09
     182.000  0.36427943E-05  0.27620848E-08
     183.000  0.36491444E-05  0.98399989E-08
     184.000  0.36608033E-05  0.10267719E-07
     185.000  0.36750026E-05  0.38363205E-08
     186.000  0.36921173E-05  0.26456935E-08
     187.000  0.37131886E-05  0.70675498E-08
     188.000  0.37339594E-05  0.50421082E-08
     189.000  0.37479352E-05 -0.35687734E-08
     190.000  0.37536642E-05 -0.62803477E-08
     191.000  0.37531383E-05 -0.25625394E-08
     192.000  0.37455148E-05 -0.43812815E-08
     193.000  0.37291083E-05 -0.11302541E-07
     194.000  0.37075554E-05 -0.10189378E-07
     195.000  0.36871729E-05 -0.69612923E-09
     196.000  0.36696129E-05  0.42217190E-08
     197.000  0.36531912E-05  0.38791258E-08
     198.000  0.36393890E-05  0.10159205E-07
     199.000  0.36313692E-05  0.21780521E-07
     200.000  0.36277334E-05  0.24596653E-07
     201.000  0.36243669E-05  0.18246882E-07
     202.000  0.36211082E-05  0.16119716E-07
     203.000  0.36204041E-05  0.18476854E-07
     204.000  0.36210157E-05  0.12573101E-07
     205.000  0.36194220E-05 -0.30894593E-09
     206.000  0.36159924E-05 -0.54715170E-08
     207.000  0.36136424E-05 -0.25606777E-08
     208.000  0.36119978E-05 -0.50206578E-08
     209.000  0.36090012E-05 -0.12129449E-07
     210.000  0.36065466E-05 -0.99491316E-08
     211.000  0.36082637E-05  0.20091403E-09
     212.000  0.36132986E-05  0.31123752E-08
     213.000  0.36182743E-05 -0.10350333E-08
     214.000  0.36235184E-05  0.19143363E-08
     215.000  0.36312275E-05  0.10348331E-07
     216.000  0.36395004E-05  0.87175285E-08
     217.000  0.36445970E-05 -0.17702173E-08
     218.000  0.36472900E-05 -0.49246321E-08
     219.000  0.36507338E-05 -0.97802307E-09
     220.000  0.36540419E-05 -0.49816650E-08
     221.000  0.36543484E-05 -0.15118216E-07
     222.000  0.36531614E-05 -0.14737302E-07
     223.000  0.36540832E-05 -0.49395397E-08
     224.000  0.36561546E-05 -0.25766017E-08
     225.000  0.36559928E-05 -0.69890473E-08
     226.000  0.36545249E-05 -0.19204764E-08
     227.000  0.36549492E-05  0.10806903E-07
     228.000  0.36560241E-05  0.13495508E-07
     229.000  0.36541867E-05  0.70234154E-08
     230.000  0.36504661E-05  0.86247326E-08
     231.000  0.36485308E-05  0.16856049E-07
     232.000  0.36477699E-05  0.13988801E-07
     233.000  0.36451412E-05  0.17480532E-08
     234.000  0.36419494E-05 -0.11898057E-08
     235.000  0.36417800E-05  0.43446461E-08
     236.000  0.36434615E-05  0.50059603E-09
     237.000  0.36430508E-05 -0.10708026E-07
     238.000  0.36410826E-05 -0.10306672E-07
     239.000  0.36409245E-05 -0.77078335E-10
     240.000  0.36417673E-05  0.54913005E-09
     241.000  0.36403684E-05 -0.69880429E-08
     242.000  0.36380289E-05 -0.36116224E-08
     243.000  0.36386341E-05  0.82373531E-08
     244.000  0.36413039E-05  0.82607804E-08
     245.000  0.36420642E-05 -0.15727640E-08
     246.000  0.36412171E-05 -0.88875660E-09
     247.000  0.36419620E-05  0.81041850E-08
     248.000  0.36433843E-05  0.47419583E-08
     249.000  0.36421013E-05 -0.82098321E-08
     250.000  0.36393700E-05 -0.90313656E-08
     251.000  0.36393168E-05  0.20982442E-11
     252.000  0.36415149E-05 -0.27041095E-08
     253.000  0.36423884E-05 -0.14168329E-07
     254.000  0.36423689E-05 -0.11870095E-07
     255.000  0.36444406E-05  0.12228872E-08
     256.000  0.36472197E-05  0.19390302E-08
     257.000  0.36468669E-05 -0.70017530E-08
     258.000  0.36444031E-05 -0.26111401E-08
     259.000  0.36438686E-05  0.11154777E-07
     260.000  0.36448116E-05  0.95289590E-08
     261.000  0.36438936E-05 -0.43328222E-08
     262.000  0.36421671E-05 -0.55333478E-08
     263.000  0.36431757E-05  0.27145934E-08
     264.000  0.36455068E-05 -0.43704892E-08
     265.000  0.36449324E-05 -0.22071332E-07
     266.000  0.36423529E-05 -0.23335579E-07
     267.000  0.36419227E-05 -0.11596556E-07
     268.000  0.36430010E-05 -0.13541395E-07
     269.000  0.36418933E-05 -0.24992267E-07
     270.000  0.36398686E-05 -0.18590306E-07
     271.000  0.36411703E-05  0.57246844E-09
     272.000  0.36445090E-05  0.32079825E-08
     273.000  0.36449684E-05 -0.66505198E-08
     274.000  0.36433115E-05 -0.10385078E-09
     275.000  0.36452125E-05  0.17524087E-07
     276.000  0.36523997E-05  0.15713021E-07
     277.000  0.36628112E-05 -0.24901293E-09
     278.000  0.36782182E-05  0.12346321E-08
     279.000  0.37027136E-05  0.15051398E-07
     280.000  0.37338539E-05  0.92965096E-08
     281.000  0.37634271E-05 -0.97405542E-08
     282.000  0.37866128E-05 -0.81633213E-08
     283.000  0.38027743E-05  0.81983464E-08
     284.000  0.38085744E-05  0.48337440E-08
     285.000  0.37992564E-05 -0.11854637E-07
     286.000  0.37767317E-05 -0.62683374E-08
     287.000  0.37484555E-05  0.14325727E-07
     288.000  0.37185567E-05  0.12343926E-07
     289.000  0.36874244E-05 -0.51930760E-08
     290.000  0.36586518E-05  0.11616284E-09
     291.000  0.36377883E-05  0.20231518E-07
     292.000  0.36246364E-05  0.14767732E-07
     293.000  0.36146781E-05 -0.79118981E-08
     294.000  0.36073407E-05 -0.56078537E-08
     295.000  0.36050926E-05  0.13161717E-07
     296.000  0.36057831E-05  0.49593267E-08
     297.000  0.36043533E-05 -0.20354943E-07
     298.000  0.36010677E-05 -0.16569079E-07
     299.000  0.35997411E-05  0.64367531E-08
     300.000  0.35992207E-05  0.65393174E-09
     301.000  0.35953556E-05 -0.23177332E-07
     302.000  0.35900325E-05 -0.14763603E-07
     303.000  0.35891979E-05  0.13982323E-07
     304.000  0.35930441E-05  0.95794936E-08
     305.000  0.35971484E-05 -0.15753607E-07
     306.000  0.36019266E-05 -0.62360190E-08
     307.000  0.36114055E-05  0.24207179E-07
     308.000  0.36237343E-05  0.15938983E-07
     309.000  0.36326998E-05 -0.16195036E-07
     310.000  0.36379375E-05 -0.87825557E-08
     311.000  0.36440725E-05  0.22256451E-07
     312.000  0.36506702E-05  0.98253863E-08
     313.000  0.36529636E-05 -0.27710408E-07
     314.000  0.36517875E-05 -0.17438720E-07
     315.000  0.36526450E-05  0.21055858E-07
     316.000  0.36553711E-05  0.94249422E-08
     317.000  0.36547863E-05 -0.30535470E-07
     318.000  0.36511370E-05 -0.14040938E-07
     319.000  0.36496908E-05  0.33707230E-07
     320.000  0.36503629E-05  0.18895530E-07
     321.000  0.36480688E-05 -0.30514615E-07
     322.000  0.36430878E-05 -0.10783139E-07
     323.000  0.36406713E-05  0.45653229E-07
     324.000  0.36405739E-05  0.21511690E-07
     325.000  0.36374657E-05 -0.45404076E-07
     326.000  0.36315925E-05 -0.19174095E-07
     327.000  0.36284892E-05  0.56238403E-07
     328.000  0.36282854E-05  0.18571606E-07
     329.000  0.36259819E-05 -0.79112328E-07
     330.000  0.36221509E-05 -0.28682092E-07
     331.000  0.36224374E-05  0.10726311E-06
     332.000  0.36264950E-05  0.22991942E-07
     333.000  0.36284064E-05 -0.20917299E-06
     334.000  0.36279920E-05  0.18806949E-06
     335.000  0.36305189E-05  0.22985924E-05
     336.000  0.36353104E-05  0.69839054E-05
     337.000  0.36361586E-05  0.14536561E-04
     338.000  0.36331130E-05  0.24119901E-04
     339.000  0.36322576E-05  0.33301060E-04
     340.000  0.36337338E-05  0.38833379E-04
     341.000  0.36318305E-05  0.38540137E-04
     342.000  0.36270584E-05  0.32302171E-04
     343.000  0.36259806E-05  0.21158227E-04
     344.000  0.36287729E-05  0.62134656E-05
     345.000  0.36292312E-05 -0.11002423E-04
     346.000  0.36274139E-05 -0.27842759E-04
     347.000  0.36296877E-05 -0.41321757E-04
     348.000  0.36357881E-05 -0.49613469E-04
     349.000  0.36386472E-05 -0.52287736E-04
     350.000  0.36376514E-05 -0.49507359E-04
     351.000  0.36390949E-05 -0.41961235E-04
     352.000  0.36428766E-05 -0.31447871E-04
     353.000  0.36420815E-05 -0.20401654E-04
     354.000  0.36366038E-05 -0.10476062E-04
     355.000  0.36337038E-05 -0.22245941E-05
     356.000  0.36341016E-05  0.38143268E-05
     357.000  0.36311878E-05  0.67531703E-05
     358.000  0.36249998E-05  0.65011227E-05
     359.000  0.36229799E-05  0.43941158E-05
     360.000  0.36256976E-05  0.20489456E-05
     361.000  0.36260012E-05  0.20256869E-06
     362.000  0.36235507E-05 -0.79854965E-06
     363.000  0.36257093E-05 -0.17464144E-06
     364.000  0.36326515E-05  0.26198680E-05
     365.000  0.36362932E-05  0.67251359E-05
     366.000  0.36354375E-05  0.10288075E-04
     367.000  0.36370290E-05  0.12048514E-04
     368.000  0.36409729E-05  0.11966950E-04
     369.000  0.36391824E-05  0.10513986E-04
     370.000  0.36314275E-05  0.81273631E-05
     371.000  0.36265129E-05  0.53761472E-05
     372.000  0.36259470E-05  0.28878898E-05
     373.000  0.36223405E-05  0.83298816E-06
     374.000  0.36157167E-05 -0.10637008E-05
     375.000  0.36148751E-05 -0.28480554E-05
     376.000  0.36204270E-05 -0.41136490E-05
     377.000  0.36231676E-05 -0.45908443E-05
     378.000  0.36215141E-05 -0.45138353E-05
     379.000  0.36236036E-05 -0.42038826E-05
     380.000  0.36299032E-05 -0.36747246E-05
     381.000  0.36313010E-05 -0.28715166E-05
     382.000  0.36270095E-05 -0.19602273E-05
     383.000  0.36265816E-05 -0.11316134E-05
     384.000  0.36314924E-05 -0.38378831E-06
     385.000  0.36327724E-05  0.27429025E-06
     386.000  0.36295222E-05  0.63231530E-06
     387.000  0.36311325E-05  0.50337141E-06
     388.000  0.36382816E-05 -0.50089412E-07
     389.000  0.36407494E-05 -0.87976922E-06
     390.000  0.36370841E-05 -0.19291576E-05
     391.000  0.36370929E-05 -0.30712477E-05
     392.000  0.36418928E-05 -0.39828392E-05
     393.000  0.36414642E-05 -0.43986463E-05
     394.000  0.36350757E-05 -0.43501362E-05
     395.000  0.36336037E-05 -0.40010807E-05
     396.000  0.36383253E-05 -0.34285028E-05
     397.000  0.36383845E-05 -0.27327840E-05
     398.000  0.36325293E-05 -0.21586817E-05
     399.000  0.36316845E-05 -0.18780591E-05
     400.000  0.36366304E-05 -0.17941940E-05
     401.000  0.36355675E-05 -0.17575997E-05
