 TIME             sta1            sta2      
     128.000 -0.20860637E-19  0.10858100E-22
     129.000 -0.20873891E-19  0.42326095E-22
     130.000 -0.20874596E-19  0.52087765E-22
     131.000 -0.20880737E-19  0.30249114E-22
     132.000 -0.20893011E-19  0.16012499E-22
     133.000 -0.20894600E-19  0.20921040E-22
     134.000 -0.20886568E-19  0.89235276E-23
     135.000 -0.20887855E-19 -0.26578495E-22
     136.000 -0.20899205E-19 -0.43732149E-22
     137.000 -0.20902381E-19 -0.31200508E-22
     138.000 -0.20896113E-19 -0.27818882E-22
     139.000 -0.20897544E-19 -0.43003664E-22
     140.000 -0.20907029E-19 -0.37325646E-22
     141.000 -0.20906998E-19 -0.31994295E-23
     142.000 -0.20896903E-19  0.15870547E-22
     143.000 -0.20893929E-19  0.75205005E-23
     144.000 -0.20897889E-19  0.10577806E-22
     145.000 -0.20890904E-19  0.32748580E-22
     146.000 -0.20873144E-19  0.31463734E-22
     147.000 -0.20863497E-19 -0.21280130E-23
     148.000 -0.20863796E-19 -0.23743368E-22
     149.000 -0.20857838E-19 -0.21148621E-22
     150.000 -0.20846570E-19 -0.34120327E-22
     151.000 -0.20848110E-19 -0.69098523E-22
     152.000 -0.20861717E-19 -0.80298568E-22
     153.000 -0.20867698E-19 -0.57134524E-22
     154.000 -0.20864083E-19 -0.43875382E-22
     155.000 -0.20867525E-19 -0.51513471E-22
     156.000 -0.20877419E-19 -0.37884554E-22
     157.000 -0.20875838E-19  0.38941531E-23
     158.000 -0.20863882E-19  0.26389416E-22
     159.000 -0.20861218E-19  0.17804794E-22
     160.000 -0.20868462E-19  0.21201902E-22
     161.000 -0.20866715E-19  0.44031660E-22
     162.000 -0.20855158E-19  0.39979175E-22
     163.000 -0.20851992E-19  0.14120113E-23
     164.000 -0.20857516E-19 -0.22269471E-22
     165.000 -0.20853977E-19 -0.18451908E-22
     166.000 -0.20843053E-19 -0.30186674E-22
     167.000 -0.20845619E-19 -0.62413182E-22
     168.000 -0.20862938E-19 -0.64972965E-22
     169.000 -0.20875418E-19 -0.29281048E-22
     170.000 -0.20880532E-19 -0.60393811E-23
     171.000 -0.20894038E-19 -0.71699363E-23
     172.000 -0.20913047E-19  0.12651933E-22
     173.000 -0.20916684E-19  0.58000707E-22
     174.000 -0.20904891E-19  0.75904390E-22
     175.000 -0.20898602E-19  0.56454568E-22
     176.000 -0.20900714E-19  0.50222180E-22
     177.000 -0.20894943E-19  0.66515270E-22
     178.000 -0.20883035E-19  0.55827171E-22
     179.000 -0.20883622E-19  0.12187914E-22
     180.000 -0.20894332E-19 -0.10391175E-22
     181.000 -0.20895685E-19 -0.22308427E-23
     182.000 -0.20893442E-19 -0.14228956E-22
     183.000 -0.20916770E-19 -0.52027089E-22
     184.000 -0.20973530E-19 -0.60391020E-22
     185.000 -0.21047138E-19 -0.31311035E-22
     186.000 -0.21136120E-19 -0.19907016E-22
     187.000 -0.21252743E-19 -0.34709863E-22
     188.000 -0.21380690E-19 -0.21607770E-22
     189.000 -0.21477993E-19  0.25092273E-22
     190.000 -0.21526300E-19  0.46859328E-22
     191.000 -0.21537318E-19  0.33648780E-22
     192.000 -0.21510842E-19  0.39722664E-22
     193.000 -0.21431731E-19  0.69783777E-22
     194.000 -0.21312016E-19  0.64117826E-22
     195.000 -0.21190938E-19  0.15136968E-22
     196.000 -0.21086475E-19 -0.16783860E-22
     197.000 -0.20987376E-19 -0.20509777E-22
     198.000 -0.20895941E-19 -0.49575983E-22
     199.000 -0.20834657E-19 -0.10451880E-21
     200.000 -0.20804944E-19 -0.12015262E-21
     201.000 -0.20782370E-19 -0.87661708E-22
     202.000 -0.20759393E-19 -0.68979916E-22
     203.000 -0.20752129E-19 -0.73694423E-22
     204.000 -0.20759773E-19 -0.44544565E-22
     205.000 -0.20758744E-19  0.19125102E-22
     206.000 -0.20742694E-19  0.49133085E-22
     207.000 -0.20728540E-19  0.35463759E-22
     208.000 -0.20719004E-19  0.39454726E-22
     209.000 -0.20699701E-19  0.66257350E-22
     210.000 -0.20676615E-19  0.53268477E-22
     211.000 -0.20675093E-19 -0.37631047E-24
     212.000 -0.20697795E-19 -0.24256386E-22
     213.000 -0.20723521E-19 -0.10019205E-22
     214.000 -0.20749124E-19 -0.21259729E-22
     215.000 -0.20790847E-19 -0.58525240E-22
     216.000 -0.20843195E-19 -0.51453936E-22
